email,twitter,ifsc
"cmd@allahabadbank.in,customercare@allahabadbank.in",Allahabad_Bank,ALLA
"kaushal.saru@aexp.com,adlakha.manoj@aexp.com",amexindia,AMEX
cmd@andhrabank.co.in,bank_andhra,ANDB
"customercare@aubank.in, pramod.khetawat@aubank.in,uttam@aufin.inDeepak Jain,deepak.jain@aufin.in",aubankindia,AUBL
shikha.sharma@axisbank.com,AxisBank,UTIB
"getintouch@bandhanbank.com, nand.singh@bandhanbank.com",bandhanbank_in,BDBL
"cmd@bankofbaroda.com, ""P S Jayakumar [Managing Director & CEO]"" <md.ceo@bankofbaroda.com>",bankofbaroda,BARB
cmd@bankofindia.co.in,BOI_Tweets,BKID
mdceo@mahabank.co.in,bomrochd,MAHB
cmdscrt@canarabank.com,canarabanktweet,CNRB
"pvantony@csb.co.in , antonyvaroo@csb.co.in",CSB_Bank,CSBK
chairman@centralbank.co.in,centralbank_in,CBIN
"india.ceo@citi.com, india.operations.head@citi.com",Citibank,CITI
customercare@cityunionbank.com,cubltd,CIUB
cmd@corpbank.co.in,CorpBanking,CORP
cbgheaddbsindia@dbs.com,dbsbank,DBSS
muralim.natrajan@dcbbank.com,DCBBank,DCBL
cmd@denabank.co.in,dena_bank,BKDN
"customer.care@db.com,head.services@db.com,nalanda.kadam@db.com",DeutscheBank,DEUT
sreeram.g@dhanbank.co.in,,DLXB
,EquitasBank,ESFB
paul@esafbank.com,ESAFBank,ESAF
secretarial@federalbank.co.in,FederalBankLtd,FDRL
,fincarebank,FSFB
aditya.puri@hdfcbank.com,HDFC_Bank,HDFC
complaints.india@hsbc.co.in,HSBC_IN,HSBC
chanda.kochhar@icicibank.com,icicibank,ICIC
cmd@idbi.co.in,IDBI_Bank,IBKL
"sunil.kakar@idfc.com, avatar.monga@idfc.com",IDFC_Bank,IDFB
cmdsec@indianbank.co.in,MyIndianBank,IDIB
cmd@iobnet.co.in,IOBIndia,IOBA
managingdirector@indusind.com,MyIndusIndBank,INDB
vc.sharma@jkbmail.com,JandKBank,JAKA
customercare@janalakshmi.com,Janalakshmi_MFI,--
mdsec@ktkbank.com,KarnatakaBank,KARB
customerservice@kvbmail.com.,KVB_Ltd,KVBL
"ceo@kotak.com,countryhead.consumer@kotak.com, uday.kotak@kotak.com",,KKBK
Ravishankar.Swaminathan@lvbank.in,LVBankLtd,LAVB
cmd@obc.co.in,OBCIndOfficial,ORBC
renu@paytm.com,PaytmBank,PYTM
cmd@psb.org.in,PunjabSind_Bank,PSIB
cmd@pnb.co.in,Indiapnb,PUNB
principalnodalofficer@rblbank.com.,rblbank,RATN
"customercare@sib.co.in, head@sib.co.in",OfficialSIBLtd,SIBL
Zarin.Daruwala@sc.com,StanChart,SCBL
chairman@sbi.co.in,theofficialsbi,SBIN
hocmdsec@syndicatebank.co.in,banksyndicate,SYNB
customerservice@tmbank.in,tmbltd,TMBL
cmdsec.calcutta@ucobank.co.in,UCO_BANK,UCBA
samit.ghosh@ujjivan.com,UjjivanSFB,USFB
cmd@unionbankofindia.com,UnionBankTweets,UBIN
cmdunitedbank@unitedbank.co.in,bankatunited,UTBI
cmd@vijayabank.co.in,VijayaBankIndia,VIJB
"yestouch@yesbank.in, head.grievanceredressal@yesbank.in, principal.nodalofficer@yesbank.in, rana.kapoor@yesbankltd.com",,YESB
