index,name,state,mp,email,code
1,Adilabad,TG,"Shri Nagesh Godam",nageshgodam@gmail.com,TG-1
18,Agra,UP,"Dr. Prof. Ram Shankar","office.mpagra@gmail.com, rs.katheria@sansad.nic.in",UP-18
7,"Ahmedabad East",GJ,"Shri Paresh Rawal","paresh.rawal@sansad.nic.in, mppareshrawal@gmail.com",GJ-7
8,"Ahmedabad West",GJ,"Dr. (Prof) Kirit Premjibhai Solanki","kirit.solanki@sansad.nic.in, sansadkiritsolanki@gmail.com, drkiritsolanki@yahoo.co.in",GJ-8
37,Ahmednagar,MH,"Shri Dilip Kumar Mansukhlal Gandhi","dmgandhi@sansad.nic.in, dilipmgandhi@gmail.com",MH-37
13,Ajmer,RJ,"Prof. Sanwar Lal Jat",sanwarlalj@gmail.com,RJ-13
44,Akbarpur,UP,"Shri Devendra (Alias) Bhole Singh Singh",devendra.singh19@sansad.nic.in,UP-44
6,Akola,MH,"Shri Sanjay Shamrao Dhotre",sanjaysdhotre@gmail.com,MH-6
15,Alappuzha,KE,"Shri K. C. Venugopal","kc.venugopal@sansad.nic.in, kcvenugopal.org@gmail.com",KE-15
9,Alathur,KE,"Shri Parayamparambil Kuttappan Biju","pk.biju@sansad.nic.in, pkbijump@gmail.com",KE-9
15,Aligarh,UP,"Shri Satish Kumar Gautam","satish.gautam@sansad.nic.in, satishgautambjp@gmail.com",UP-15
2,Alipurduars,WB,"Shri Dasrath Tirkey",dasrath.tirkey@sansad.nic.in,WB-2
52,Allahabad,UP,"Shri Shyama Charan Gupta",shyamacharangupta@shyamacharangupta.co.in,UP-52
3,Almora,UT,"Shri Ajay Tamta",ajay.tamta@sansad.nic.in,UT-3
8,Alwar,RJ,"Shri Chand Nath Yogi","chand.nath@sansad.nic.in, mahentchandnathyogi@gmail.com",RJ-8
24,Amalapuram,AP,"Dr. Ravindra Babu Pandula","pandularavi@gmail.com, pandularavi@gmail.com",AP-24
1,Ambala,HA,"Shri Rattan Lal Kataria",ratanlal.kataria@sansad.nic.in,HA-1
55,"Ambedkar Nagar",UP,"Shri Hari Om Pandey",hariom.pandey@sansad.nic.in,UP-55
37,Amethi,UP,"Shri Rahul Gandhi",office@rahulgandhi.in,UP-37
7,Amravati,MH,"Shri Anandrao Adsul",av.adsul@sansad.nic.in,MH-7
14,Amreli,GJ,"Shri Naranbhai Bhikhabhai Kachhadiya","mpamreli@gmail.com, mp_amreli@rediffmail.com",GJ-14
2,Amritsar,PB,"Captain Amarinder Singh",amarinder.singh@sansad.nic.in,PB-2
9,Amroha,UP,"Shri Kanwar Singh Tanwar",ks.tanwar@sansad.nic.in,UP-9
22,Anakapalle,AP,"Shri Muthamsetti Srinivasa Rao (Avanthi)",ms.rao19@sansad.nic.in,AP-22
16,Anand,GJ,"Shri Dilip M. Patel",dilip2455@gmail.com,GJ-16
6,"Anandpur Sahib",PB,"Shri Prem Singh Chandumajra","ps.chandumajra@sansad.nic.in, chandumajra50@gmail.com",PB-6
36,Anantapur,AP,"Shri J.C. Divakar Reddy",jcdr.tdp@gmail.com,AP-36
3,Anantnag,JK,"Ms. Mehbooba Mufti",,JK-3
1,"Andaman and Nicobar Islands",AN,"Shri Bishnu Pada Ray",andamanmp@gmail.com,AN-1
24,Aonla,UP,"Shri Dharmendra Kumar",kumar.dharmendra@sansad.nic.in,UP-24
7,Arakkonam,TN,"Shri G. Hari","hari.g@sansad.nic.in, tiruttani.hari@gmail.com",TN-7
18,Araku,AP,"Smt. Geetha Kothapalli","kothapalli.geetha@sansad.nic.in, kothapalligeetha@gmail.com",AP-18
29,Arambagh,WB,"Smt. Aparupa Poddar","aparupa.poddar@sansad.nic.in, aparupa29afrin@gmail.com",WB-29
12,Arani,TN,"Shri Elumalai Vellaigounder",v.elumalai@sansad.nic.in,TN-12
9,Araria,BI,"Shri Taslimuddin",mparaials@gmail.com,BI-9
32,Arrah,BI,"Shri Raj Kumar Singh","rajkumar.singh19@sansad.nic.in, rksinghmpare@gmail.com",BI-32
2,"Arunachal East",AR,"Shri Ninong Ering","ninong2ering@gmail.com, ninong.ering@sansad.nic.in",AR-2
1,"Arunachal West",AR,"Shri Kiren Rijiju","kiren.rijiju@sansad.nic.in, krijiju@gmail.com",AR-1
40,Asansol,WB,"Shri Babul Supriyo",mos.ud@nic.in,WB-40
19,Aska,OR,"Shri Ladu Kishore Swain","ladukishore.swain@sansad.nic.in, lksmpaska@gmail.com",OR-19
19,Attingal,KE,"Dr. Anirudhan Sampath","a.sampath@sansad.nic.in,",KE-19
37,Aurangabad,BI,"Shri Sushil Kumar Singh","sushilkumar.singh19@sansad.nic.in, sushilsingh.mp@gmail.com",BI-37
19,Aurangabad,MH,"Shri Chandrakant Bhaurao Khaire","bk.chandrakant@sansad.nic.in, cbkhaire@gmail.com",MH-19
3,"Autonomous District",AS,"Shri Biren Singh Engti","birens.engti@sansad.nic.in, shisude@yahoo.com",AS-3
69,Azamgarh,UP,"Shri Mulayam Singh Yadav",mulayamsingh.yadav@sansad.nic.in,UP-69
23,Badaun,UP,"Shri Dharmendra Yadav",d.yadav@sansad.nic.in,UP-23
3,Bagalkot,KA,"Shri Parvatagouda Chandanagouda Gaddigoudar",pcgaddigoudar@rediffmail.com,KA-3
11,Baghpat,UP,"Dr. Satya Pal Singh","dr.satyapalsingh@sansad.nic.in, bjpbagpat@gmail.com, allsatya@gmail.com",UP-11
10,Baharampur,WB,"Shri Adhir Ranjan Chowdhury",adhir@sansad.nic.in,WB-10
56,Bahraich,UP,"Sushree Sadhvi Savitri Bai Phoole","sadhvisavitrib.foole@sansad.nic.in, savitribaiphoole@gmail.com",UP-56
15,Balaghat,MP,"Shri Bodhsingh Bhagat",bodhsingh.bhagat@sansad.nic.in,MP-15
6,Balasore,OR,"Shri Rabindra Kumar Jena","rabindra.jena@sansad.nic.in, rkjena.mpblsloksabha@gmail.com",OR-6
72,Ballia,UP,"Shri Bharat Singh","bharatsingh.ballia@sansad.nic.in, mpbharatsingh.ballia@gmail.com",UP-72
6,Balurghat,WB,"Ms. Arpita Ghosh","ghosh.arpita@sansad.nic.in, ghosarpita@gmail.com",WB-6
2,Banaskantha,GJ,"Shri Haribhai Parthibhai Chaudhary",mos-mha@nic.in,GJ-2
48,Banda,UP,"Shri Bhairon Prasad Mishra",bhairon.prasad@sansad.nic.in,UP-48
25,"Bangalore Central",KA,"Shri P. C. Mohan",pc.mohan@sansad.nic.in,KA-25
24,"Bangalore North",KA,"Shri D.V. Sadananda Gowda","sadananda.gowda@sansad.nic.in, sadanandagowda@yahoo.com",KA-24
23,"Bangalore Rural",KA,"Shri Doddaalahalli Kempegowda Suresh",dksuresh18@gmail.com,KA-23
26,"Bangalore South",KA,"Shri Ananth Kumar",ananth@ananth.org,KA-26
14,Bangaon,WB,"Smt. Mamata Thakur",mamatathakur67@gmail.com,WB-14
27,Banka,BI,"Shri Jay Prakash Narayan Yadav",jpnarayan.yadav@sansad.nic.in,BI-27
36,Bankura,WB,"Smt. Dev (Moon Moon Sen) Varma","sd.verma@sansad.nic.in,",WB-36
67,Bansgaon,UP,"Shri Kamlesh Paswan","kamlesh.paswan@sansad.nic.in, kamleshpassi67@gmail.com",UP-67
20,Banswara,RJ,"Shri Manshankar Ninama",akkanchan@gmail.com,RJ-20
32,Bapatla,AP,"Shri Sriram Malyadri","malyadri.sriram@sansad.nic.in, malaydri@gmail.com",AP-32
53,Barabanki,UP,"Smt. Priyanka Singh Rawat",priyankasingh.rawat@sansad.nic.in,UP-53
35,Baramati,MH,"Smt. Supriya Sadanand Sule",supriyassule@gmail.com,MH-35
1,Baramulla,JK,"Shri Muzaffar Hussain Baig",muzaffar.baig@sansad.nic.in,JK-1
17,Barasat,WB,"Dr. (Smt.) Kakoli Ghosh Dastidar",kakoli.dastidar@sansad.nic.in,WB-17
38,"Bardhaman Purba",WB,"Shri Sunil Kumar Mondal",sunilk.mondal@sansad.nic.in,WB-38
39,Bardhaman-Durgapur,WB,"Dr. (Smt.) Mamtaz Sanghamita",mamtaz.sanghamita@sansad.nic.in,WB-39
23,Bardoli,GJ,"Shri Parbhubhai Nagarbhai Vasava",mpprabhuvasava@gmail.com,GJ-23
25,Bareilly,UP,"Shri Santosh Kumar Gangwar","santoshg@sansad.nic.in, santosh.gangwar.bareilly@gmail.com, mot_fb@nic.in",UP-25
1,Bargarh,OR,"Dr. Prabhas Kumar Singh",prabhas.singh@sansad.nic.in,OR-1
17,Barmer,RJ,"VSM (Retd.) Sona Ram Col. Choudhary",col.sonaram@sansad.nic.in,RJ-17
6,Barpeta,AS,"Shri Sirajuddin Ajmal",msirajuddinajmal@gmail.com,AS-6
15,Barrackpur,WB,"Shri Dinesh Trivedi",dintriv@gmail.com,WB-15
18,Basirhat,WB,"Shri Idris Ali",idris.ali@sansad.nic.in,WB-18
10,Bastar,CT,"Shri Dinesh Kashyap",dinesh.kashyap@sansad.nic.in,CT-10
61,Basti,UP,"Shri Harish Dwivedi","harishchandra.mp@sansad.nic.in, bjpharish@gmail.com",UP-61
11,Bathinda,PB,"Smt. Harsimrat Kaur Badal","harsimratk.badal@sansad.nic.in, simratbadal@yahoo.com",PB-11
39,Beed,MH,"Dr. Pritam Gopinath Munde","pritam.munde@sansad.nic.in, drpritammunde@gmail.com",MH-39
24,Begusarai,BI,"Dr. Bhola Singh",bholasingh.mp@sansad.nic.in,BI-24
2,Belgaum,KA,"Shri Suresh Chanabasappa Angadi",suresh.angadimp@gmail.com,KA-2
9,Bellary,KA,"Shri B. Sreeramulu","b.sreeramulu@sansad.nic.in,",KA-9
20,Berhampur,OR,"Shri Sidhant Mohapatra","sidhant.mohapatra@sansad.nic.in, mpsidhant@gmail.com",OR-20
29,Betul,MP,"Smt. Jyoti Dhurve","jyoti.dhurve@sansad.nic.in, jyotidhurvememberofparliament@gmail.com",MP-29
78,Bhadohi,UP,"Shri Virendra Singh",virendra.singh19@sansad.nic.in,UP-78
7,Bhadrak,OR,"Shri Arjun Charan Sethi","ac.sethi@sansad.nic.in, nama.kmm@gmail.com",OR-7
26,Bhagalpur,BI,"Shri Shailesh (Bulo Mandal) Kumar",shailesh.kumar19@sansad.nic.in,BI-26
11,Bhandara-Gondiya,MH,"Shri Nanabhau Falgunrao Patole",nanapatole@gmail.com,MH-11
9,Bharatpur,RJ,"Shri Bahadur Singh Koli","mpbskoli@gmail.com, bahadurs@sansad.nic.in",RJ-9
22,Bharuch,GJ,"Shri Mansukhbhai Dhanjibhai Vasava","md.vasava@sansad.nic.in, m.vasava@nic.in",GJ-22
15,Bhavnagar,GJ,"Dr. Bharati Dhirubhai Shyal","bharatibend.shiyal@sansad.nic.in, mpbhartishyal@gmail.com, mpbhartishyal@yahoo.com",GJ-15
23,Bhilwara,RJ,"Shri Subhash Chandra Baheria","subhash.baheria@sansad.nic.in, baheriasc@gmail.com",RJ-23
2,Bhind,MP,"Dr. Bhagirath Prasad","dr.bhagirathprasad@sansad.nic.in, bhagirath.prasad2@gmail.com",MP-2
23,Bhiwandi,MH,"Shri Kapil Moreshwar Patil","km.patil@sansad.nic.in, kapilpatil.kp@rediffmail.com, kapil.patilmp@gmail.com",MH-23
8,Bhiwani-Mahendragarh,HA,"Shri Dharambir Singh","dharambir.mp@sansad.nic.in, office.dharambir@gmail.com",HA-8
14,Bhongir,TG,"Dr. Boora Narsaiah Goud",drbnarsaiah@yahoo.com,TG-14
19,Bhopal,MP,"Shri Alok Sanjar","alok.sanjar@sansad.nic.in, aloksanjar.mp@gmail.com",MP-19
18,Bhubaneswar,OR,"Dr. (Prof.) Prasanna Kumar Patasani",prasanna.patasani@sansad.nic.in,OR-18
7,Bidar,KA,"Shri Bhagwanth Khuba","bhagwanth.khuba@sansad.nic.in,",KA-7
4,Bijapur,KA,"Shri Ramesh Chandappa Jigajinagi",bijapur.mp@gmail.com,KA-4
4,Bijnor,UP,"Kunwar Bharatendra Singh",bharatendrasingh@yahoo.com,UP-4
2,Bikaner,RJ,"Shri Arjun Ram Meghwal","arjunrammeghwal@gmail.com, ar.meghwal@sansad.nic.in",RJ-2
5,Bilaspur,CT,"Shri Lakhan Lal Sahu","lakhanl.sahu@sansad.nic.in, lakhanlalsahu1971@gmail.com",CT-5
42,Birbhum,WB,"Smt. Satabdi Roy (Banerjee)",,WB-42
37,Bishnupur,WB,"Shri Khan Saumitra","khan.saumitra@sansad.nic.in, saumitrakhan@gmail.com",WB-37
10,Bolangir,OR,"Shri Kalikesh Narayan Singh Deo",kalikesh.singhdeo@sansad.nic.in,OR-10
41,Bolpur,WB,"Dr. Anupam Hazra",anupam.hazra@sansad.nic.in,WB-41
14,Bulandshahr,UP,"Shri Bhola Singh","bholasingh.mp@sansad.nic.in, drbholasingh@gmail.com",UP-14
5,Buldhana,MH,"Shri Prataprao Jadhav",jadhavprataprao25@gmail.com,MH-5
33,Buxar,BI,"Shri Ashwini Kumar Choubey",ashwinikumar.choubey@sansad.nic.in,BI-33
11,Chalakudy,KE,"Shri Innocent","innocent.mp@sansad.nic.in, chalakkudymp@gmail.com",KE-11
22,Chamrajanagar,KA,"Shri R. Dhruvanarayana","r.dhruvanarayana@sansad.nic.in, dhruvanarayana@gmail.com",KA-22
76,Chandauli,UP,"Dr. Mahendra Nath Pandey",76chandauli.mp@gmail.com,UP-76
,Chandigarh,CH,"Smt. Kirron Anupam Kher","kirron.kher@sansad.nic.in, kirronkher14@gmail.com",CH-
1,"Chandni Chowk",DL,"Dr. Harsh Vardhan",dr.harshvardhan@sansad.nic.in,DL-1
13,Chandrapur,MH,"Shri Hansraj Gangaram Ahir",hansrajahir1954@gmail.com,MH-13
4,Chatra,JH,"Shri Sunil Kumar Singh",sunilkr.singh@sansad.nic.in,JH-4
4,"Chennai Central",TN,"Shri Vijayakumar S.R.",sr.vijayakumar@sansad.nic.in,TN-4
2,"Chennai North",TN,"Shri T.G. Venkatesh Babu",venkatesh.tg@sansad.nic.in,TN-2
3,"Chennai South",TN,"Dr. Jayakumar Jayavardhan","j.jayavardhan@sansad.nic.in, jayavardhanjayakumar@gmail.com",TN-3
10,Chevella,TG,"Shri Konda Vishweshwar Reddy",kvishweshwar.reddy@sansad.nic.in,TG-10
16,Chhindwara,MP,"Shri Kamal Nath",knshikarpur@gmail.com,MP-16
21,"Chhota Udaipur",GJ,"Shri Ramsinh Pataliyabhai Rathwa","ramsinh.rathwa@sansad.nic.in, ramsinhrathwa@yahoo.co.in",GJ-21
