name,email,twitter,code
Vodafone,sunil.sood@vodafone.com,VodafoneIN,vodafone
Idea,himanshu.kapania@idea.adityabirla.com,idea_cares,idea
Airtel,Gopal.Vittal@in.airtel.com,airtelindia,airtel
Telenor,Care@telenor.in; sharad.mehrotra@telenor.in,TelenorIndia,telenor
Tata Docomo,listen@tatadocomo.com; ,tatadocomo,tatadocomo
Aircel,talktoaircel@aircel.in,Aircel,aircel
Jio,care@jio.com;,reliancejio,jio
BSNL Mobile,cmdbsnl@bsnl.co.in;,BSNLCorporate,bsnl
MTS India,customercare@mtsindia.in; ceo@mtsindia.in,MTS_India,mts
MTNL,cmd@bol.net.in,MTNLOfficial,mtnl
